clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X14Y57,14,57
X0Y0,SLICE,SLICE_X14Y58,14,58
X0Y0,SLICE,SLICE_X14Y59,14,59
X0Y0,SLICE,SLICE_X14Y6,14,6
X0Y0,SLICE,SLICE_X14Y7,14,7
X0Y0,SLICE,SLICE_X14Y8,14,8
X0Y0,SLICE,SLICE_X14Y9,14,9
X0Y0,SLICE,SLICE_X15Y0,15,0
X0Y0,SLICE,SLICE_X15Y1,15,1
X0Y0,SLICE,SLICE_X15Y10,15,10
X0Y0,SLICE,SLICE_X15Y11,15,11
X0Y0,SLICE,SLICE_X15Y12,15,12
X0Y0,SLICE,SLICE_X15Y13,15,13
X0Y0,SLICE,SLICE_X15Y14,15,14
X0Y0,SLICE,SLICE_X15Y15,15,15
X0Y0,SLICE,SLICE_X15Y16,15,16
X0Y0,SLICE,SLICE_X15Y17,15,17
X0Y0,SLICE,SLICE_X15Y18,15,18
X0Y0,SLICE,SLICE_X15Y19,15,19
X0Y0,SLICE,SLICE_X15Y2,15,2
X0Y0,SLICE,SLICE_X15Y20,15,20
X0Y0,SLICE,SLICE_X15Y21,15,21
X0Y0,SLICE,SLICE_X15Y22,15,22
X0Y0,SLICE,SLICE_X15Y23,15,23
X0Y0,SLICE,SLICE_X15Y24,15,24
X0Y0,SLICE,SLICE_X15Y25,15,25
X0Y0,SLICE,SLICE_X15Y26,15,26
X0Y0,SLICE,SLICE_X15Y27,15,27
X0Y0,SLICE,SLICE_X15Y28,15,28
X0Y0,SLICE,SLICE_X15Y29,15,29
X0Y0,SLICE,SLICE_X15Y3,15,3
X0Y0,SLICE,SLICE_X15Y30,15,30
X0Y0,SLICE,SLICE_X15Y31,15,31
X0Y0,SLICE,SLICE_X15Y32,15,32
X0Y0,SLICE,SLICE_X15Y33,15,33
X0Y0,SLICE,SLICE_X15Y34,15,34
X0Y0,SLICE,SLICE_X15Y35,15,35
X0Y0,SLICE,SLICE_X15Y36,15,36
X0Y0,SLICE,SLICE_X15Y37,15,37
X0Y0,SLICE,SLICE_X15Y38,15,38
X0Y0,SLICE,SLICE_X15Y39,15,39
X0Y0,SLICE,SLICE_X15Y4,15,4
X0Y0,SLICE,SLICE_X15Y40,15,40
X0Y0,SLICE,SLICE_X15Y41,15,41
X0Y0,SLICE,SLICE_X15Y42,15,42
X0Y0,SLICE,SLICE_X15Y43,15,43
X0Y0,SLICE,SLICE_X15Y44,15,44
X0Y0,SLICE,SLICE_X15Y45,15,45
X0Y0,SLICE,SLICE_X15Y46,15,46
