idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
438,3,1,1166.7,3,14,598168,True
439,3,1,1166.7,3,14,598168,True
440,34,1,109.4,34,14,598168,True
441,1,1,291.7,1,14,917711,False
442,2,1,250.0,2,14,3938795,False
443,2,1,1000.0,2,14,1008519,True
444,2,1,1000.0,2,14,1008519,True
445,3,1,437.5,3,14,997527,True
446,4,1,218.7,4,14,997527,True
447,3,1,437.5,3,14,997527,True
448,2,1,250.0,2,14,2147490,False
449,7,1,218.7,7,14,3783518,True
450,33,1,109.4,33,14,808036,True
451,1,1,291.7,1,15,1010122,False
452,1,1,500.0,1,15,2203912,False
453,3,1,205.9,3,15,1074314,True
454,2,1,1166.7,2,15,2293531,True
455,3,1,1166.7,3,15,2293531,True
456,4,1,212.1,4,15,898310,True
457,2,1,250.0,2,15,1238578,False
458,2,1,218.7,2,15,1759743,True
459,30,1,109.4,30,15,598168,True
460,3,1,233.3,3,15,6221656,True
461,2,1,437.5,2,15,6221656,True
462,4,1,437.5,4,15,1943011,True
463,1,1,1000.0,1,15,2364577,True
464,2,1,1166.7,2,15,610305,True
465,3,1,1166.7,3,15,610305,True
466,3,1,1166.7,3,15,610305,True
467,30,1,109.4,30,15,610305,True
468,3,1,1166.7,3,15,2280735,True
469,3,1,437.5,3,15,1858614,True
470,6,1,318.2,6,16,1658774,True
471,6,1,304.3,6,16,1940602,True
472,3,1,218.7,3,16,1074313,False
473,3,1,218.7,3,16,1074313,False
474,3,1,291.7,3,16,1074313,True
475,1,1,200.0,1,16,2293531,False
476,2,1,200.0,2,16,2293531,False
477,5,1,437.5,5,16,2293531,True
478,5,1,437.5,5,16,2293531,True
479,3,1,1166.7,3,16,640682,True
480,1,1,500.0,1,16,4153301,False
481,3,1,1166.7,3,16,4153301,True
482,4,1,1166.7,4,16,1943010,True
483,2,1,304.3,2,16,3833926,True
484,2,1,437.5,2,16,2364577,True
485,3,1,218.7,3,16,1808541,False
486,2,1,218.7,2,16,795166,True
487,4,1,212.1,4,16,898310,True
488,1,1,291.7,1,17,930060,False
489,2,1,1166.7,2,17,1060298,True
490,4,1,437.5,4,17,1060298,True
491,5,1,411.8,5,17,1060298,True
492,4,1,291.7,4,17,1060298,True
493,5,1,411.8,5,17,1060298,True
494,3,1,212.1,3,17,1060298,True
495,2,1,1166.7,2,17,1060298,True
496,5,1,233.3,5,17,1060298,True
497,3,1,1166.7,3,17,2218368,True
498,2,1,318.2,2,17,35848,True
499,2,1,218.7,2,17,639194,True
500,2,1,1166.7,2,17,1199905,True
501,2,1,1166.7,2,17,1199905,True
502,2,1,1166.7,2,17,1199905,True
503,2,1,1166.7,2,17,1199905,True
504,2,1,1166.7,2,17,598168,True
505,3,1,437.5,3,17,598168,True
506,2,1,1166.7,2,17,598168,True
507,3,1,437.5,3,17,598168,True
508,2,1,1166.7,2,17,598168,True
509,2,1,1166.7,2,17,598168,True
510,2,1,1166.7,2,17,598168,True
511,3,1,1166.7,3,17,598168,True
512,2,1,1166.7,2,17,598168,True
513,2,1,1166.7,2,17,598168,True
514,2,1,1166.7,2,17,598168,True
515,2,1,1166.7,2,17,598168,True
516,2,1,1166.7,2,17,598168,True
517,3,1,1166.7,3,17,598168,True
518,3,1,1166.7,3,17,598168,True
519,3,1,1166.7,3,17,598168,True
520,2,1,1166.7,2,17,598168,True
521,2,1,1166.7,2,17,598168,True
522,2,1,1166.7,2,17,598168,True
523,1,1,500.0,1,17,4750134,False
524,3,1,1166.7,3,17,4750134,True
525,2,1,437.5,2,17,743658,True
526,1,1,225.8,1,17,860154,False
527,2,1,411.8,2,17,758177,True
528,2,1,411.8,2,17,758177,True
529,2,1,411.8,2,17,758177,True
530,2,1,411.8,2,17,758177,True
531,2,1,411.8,2,17,758177,True
532,2,1,411.8,2,17,758177,True
533,2,1,411.8,2,17,758177,True
534,2,1,411.8,2,17,758177,True
535,2,1,1166.7,2,17,1716604,True
536,3,1,1166.7,3,17,610304,True
537,3,1,1166.7,3,17,610304,True
538,2,1,1166.7,2,17,610304,True
539,2,1,1166.7,2,17,610304,True
540,2,1,1166.7,2,17,610304,True
541,2,1,1166.7,2,17,610304,True
542,4,1,1166.7,4,17,610304,True
543,2,1,1166.7,2,17,610304,True
544,3,1,1166.7,3,17,610304,True
545,3,1,1166.7,3,17,610304,True
546,3,1,1166.7,3,17,610304,True
547,3,1,1166.7,3,17,610304,True
548,2,1,1166.7,2,17,610304,True
549,3,1,1166.7,3,17,610304,True
550,2,1,1166.7,2,17,610304,True
551,2,1,1166.7,2,17,610304,True
552,2,1,1166.7,2,17,610304,True
553,1,1,225.8,1,18,917688,False
554,2,1,225.8,2,18,466248,False
555,1,1,291.7,1,18,466248,False
556,6,1,1166.7,6,18,2122185,True
557,2,1,1166.7,2,18,2122185,True
558,1,1,318.2,1,18,2122185,True
559,6,1,1166.7,6,18,1910837,True
560,2,1,1166.7,2,18,1910837,True
561,1,1,318.2,1,18,1910837,True
562,2,1,1166.7,2,18,10274593,True
563,2,1,437.5,2,18,3130929,True
564,3,1,212.1,3,18,918408,True
565,3,1,218.7,3,18,918408,False
566,4,1,233.3,4,18,918408,True
567,3,1,1166.7,3,18,2205548,True
568,2,1,1166.7,2,18,579943,True
569,4,1,212.1,4,18,755466,True
570,2,1,1000.0,2,18,660292,True
571,2,1,1000.0,2,18,660292,True
572,11,1,218.7,11,18,1145935,True
573,1,1,1000.0,1,18,3245590,True
574,2,1,1166.7,2,18,596938,True
575,7,1,437.5,7,18,596938,True
576,5,1,318.2,5,18,596938,True
577,5,1,1166.7,5,18,596938,True
578,2,1,1166.7,2,18,2340718,True
579,2,1,1166.7,2,18,2340718,True
580,2,1,1166.7,2,18,2340718,True
581,3,1,218.7,3,18,2340718,True
582,2,1,1166.7,2,18,1058281,True
583,2,1,225.8,2,18,750977,False
584,1,1,291.7,1,18,750977,False
585,4,1,212.1,4,18,755466,True
586,2,1,1000.0,2,18,660292,True
587,2,1,1000.0,2,18,660292,True
588,2,1,1166.7,2,18,1716599,True
589,2,1,1166.7,2,18,2014596,True
590,2,1,1166.7,2,18,2014596,True
591,2,1,1166.7,2,18,2014596,True
592,2,1,1166.7,2,18,2014596,True
593,1,1,1000.0,1,18,3269466,True
594,8,1,437.5,8,18,3781093,True
595,2,1,1166.7,2,18,609671,True
596,7,1,437.5,7,18,609671,True
597,5,1,318.2,5,18,609671,True
598,5,1,1166.7,5,18,609671,True
599,10,1,583.3,10,18,2238088,True
600,5,1,437.5,5,18,377493,True
601,1,1,304.3,1,18,377493,True
602,2,1,225.8,2,19,915744,False
603,1,1,291.7,1,19,915744,False
604,1,1,350.0,1,19,1919903,True
605,6,1,304.3,6,19,1658774,True
606,1,1,225.8,1,19,1974709,False
607,1,1,225.8,1,19,1974709,False
608,2,1,1166.7,2,19,2122177,True
609,2,1,1166.7,2,19,1910832,True
610,2,1,1166.7,2,19,3130929,True
611,3,1,212.1,3,19,848412,True
612,3,1,218.7,3,19,848412,False
613,4,1,233.3,4,19,848412,True
614,1,1,218.7,1,19,2129843,False
615,2,1,1166.7,2,19,4849305,True
616,3,1,218.7,3,19,1502248,False
617,2,1,411.8,2,19,648607,True
618,2,1,1166.7,2,19,1402576,True
619,2,1,1166.7,2,19,1402576,True
620,37,1,109.4,37,19,503805,True
621,3,1,437.5,3,19,5550257,True
622,1,1,538.5,1,19,3220695,True
623,2,1,1166.7,2,19,3220695,True
624,2,1,1000.0,2,19,3220695,True
625,1,1,291.7,1,19,1763845,False
626,2,1,500.0,2,19,1808539,True
627,3,1,1166.7,3,19,748044,True
628,2,1,411.8,2,19,648606,True
629,27,1,109.4,27,19,560736,True
630,3,1,1166.7,3,19,2218929,True
631,3,1,437.5,3,19,1621553,True
632,1,1,538.5,1,20,2753044,True
633,2,1,1166.7,2,20,2753044,True
634,2,1,1000.0,2,20,2753044,True
