benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
507.cactuBSSN_r,1,region_18,264859700,264824700,0.45,0.45,0.01
507.cactuBSSN_r,1,region_19,585881800,585881450,0.20,0.20,0.00
507.cactuBSSN_r,1,region_20,2173615850,2173171350,0.06,0.06,0.02
507.cactuBSSN_r,1,region_21,170940700,169566250,0.70,0.71,0.80
507.cactuBSSN_r,1,region_22,186954250,186527950,0.64,0.64,0.23
507.cactuBSSN_r,1,region_23,124674900,124595100,0.96,0.96,0.06
507.cactuBSSN_r,1,region_24,122552500,122524150,0.98,0.98,0.02
507.cactuBSSN_r,1,region_25,121638300,121605050,0.99,0.99,0.03
507.cactuBSSN_r,1,average,498769208,498549478,0.57,0.57,0.16

508.namd_r,1,region_1,62740300,62806450,1.91,1.91,-0.11
508.namd_r,1,region_2,64300600,62299650,1.87,1.93,3.11
508.namd_r,1,region_3,49990850,50204350,2.40,2.39,-0.43
508.namd_r,1,region_4,49997500,48846350,2.40,2.46,2.30
508.namd_r,1,region_5,52625650,52188500,2.28,2.30,0.83
508.namd_r,1,region_6,62028400,59866450,1.93,2.00,3.49
508.namd_r,1,region_7,48757100,49333550,2.46,2.43,-1.18
508.namd_r,1,region_8,51494100,50661100,2.33,2.37,1.62
508.namd_r,1,region_9,66943800,66888850,1.79,1.79,0.08
508.namd_r,1,region_10,51869300,50260700,2.31,2.39,3.10
508.namd_r,1,region_11,63600950,63600600,1.89,1.89,0.00
508.namd_r,1,region_12,50871100,49720300,2.36,2.41,2.26
508.namd_r,1,region_13,63819700,62382600,1.88,1.92,2.25
508.namd_r,1,region_14,50257550,49124250,2.39,2.44,2.25
508.namd_r,1,region_15,54844650,54845350,2.19,2.19,-0.00
508.namd_r,1,region_16,62172600,62172250,1.93,1.93,0.00
508.namd_r,1,region_17,61778500,61778500,1.94,1.94,0.00
508.namd_r,1,region_18,63445200,63444850,1.89,1.89,0.00
508.namd_r,1,region_19,61452650,59855950,1.95,2.00,2.60
508.namd_r,1,region_20,56700350,56700350,2.12,2.12,0.00
508.namd_r,1,region_21,63758450,63758800,1.88,1.88,-0.00
508.namd_r,1,region_22,49788550,48820800,2.41,2.46,1.94
508.namd_r,1,region_23,50884050,49087500,2.36,2.44,3.53
508.namd_r,1,region_24,62032250,60774000,1.93,1.97,2.03
508.namd_r,1,region_25,58801400,58802100,2.04,2.04,-0.00
508.namd_r,1,region_26,74918550,74667950,1.60,1.61,0.33
508.namd_r,1,average,58072081,57418927,2.09,2.12,1.67

510.parest_r,1,region_1,110807900,103580050,1.08,1.16,6.52
510.parest_r,1,region_2,93277450,88683350,1.29,1.35,4.93
510.parest_r,1,region_3,83295450,83284950,1.44,1.44,0.01
510.parest_r,1,region_4,94792600,93589650,1.27,1.28,1.27
510.parest_r,1,region_5,95777500,95599700,1.25,1.26,0.19
510.parest_r,1,region_6,120242150,120209950,1.00,1.00,0.03
510.parest_r,1,region_7,81136300,78647450,1.48,1.53,3.07
510.parest_r,1,region_8,101268300,101096450,1.18,1.19,0.17
510.parest_r,1,region_9,83512450,83500200,1.44,1.44,0.01
510.parest_r,1,region_10,80271450,77045500,1.49,1.56,4.02
510.parest_r,1,region_11,148447250,147665700,0.81,0.81,0.53
510.parest_r,1,region_12,96050500,95876550,1.25,1.25,0.18
510.parest_r,1,region_13,95864650,95697350,1.25,1.25,0.17
510.parest_r,1,region_14,87945900,87852800,1.36,1.37,0.11
510.parest_r,1,region_15,97683950,97683950,1.23,1.23,0.00
510.parest_r,1,region_16,80268650,79418150,1.49,1.51,1.06
510.parest_r,1,region_17,98989450,98817600,1.21,1.21,0.17
510.parest_r,1,average,97037171,95779374,1.27,1.28,1.40

511.povray_r,1,region_1,96355350,95984350,1.25,1.25,0.39
511.povray_r,1,region_2,6589450,6564950,1.31,1.31,0.37
511.povray_r,1,region_3,102595850,102237800,1.17,1.17,0.35
511.povray_r,1,region_4,95495750,95111100,1.26,1.26,0.40
511.povray_r,1,region_5,101581200,101245900,1.18,1.19,0.33
511.povray_r,1,region_6,96131700,95714850,1.25,1.25,0.43
511.povray_r,1,region_7,93746450,93389100,1.28,1.28,0.38
511.povray_r,1,region_8,95429250,95014500,1.26,1.26,0.43
511.povray_r,1,region_9,99043000,98547400,1.21,1.22,0.50
511.povray_r,1,region_10,95119500,94674300,1.26,1.27,0.47
511.povray_r,1,region_11,99655150,99275050,1.20,1.21,0.38
511.povray_r,1,region_12,83558650,83175400,1.44,1.44,0.46
511.povray_r,1,region_13,95643800,95236750,1.25,1.26,0.43
511.povray_r,1,region_14,99827350,99456350,1.20,1.21,0.37
511.povray_r,1,region_15,90905150,90512100,1.32,1.33,0.43
511.povray_r,1,region_16,61739650,61506900,1.24,1.24,0.38
511.povray_r,1,region_17,94153500,93722650,1.27,1.28,0.46
511.povray_r,1,region_18,96300050,95857650,1.25,1.25,0.46
511.povray_r,1,region_19,93829050,93453150,1.28,1.28,0.40
511.povray_r,1,region_20,98976150,98602000,1.21,1.22,0.38
511.povray_r,1,region_21,74637850,74319700,1.25,1.26,0.43
511.povray_r,1,region_22,97147400,96813150,1.24,1.24,0.34
511.povray_r,1,region_23,91085050,90645100,1.32,1.32,0.48
511.povray_r,1,average,89545491,89176530,1.26,1.26,0.41

519.lbm_r,1,region_1,148912750,148390550,0.81,0.81,0.35
519.lbm_r,1,region_2,148240400,147717850,0.81,0.81,0.35
519.lbm_r,1,region_3,148323700,147815500,0.81,0.81,0.34
519.lbm_r,1,region_4,226630950,230140050,0.53,0.52,-1.55
