env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
atom_e3845,505.mcf_r,10079536258,10013486357,66049901,0.655,34581100.0,162240521.63,407.111,13,1.0,13,266,10,0.18,0.146,0.831,2.917,0.443,3.509,1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,505.mcf_r,5272633608,5193890483,78743125,1.493,28122544.64,193419300.88,407.111,13,1.0,13,266,10,0.18,0.146,0.831,2.917,0.443,3.509,1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,502.gcc_r,21716173687,21657264394,58909293,0.271,35275025.75,124141615.02,474.533,40,1.0,40,1060,0,0.717,0.0,3.312,3.153,0.676,0.952,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,502.gcc_r,13581961425,13521771905,60189520,0.443,25078966.67,126839482.19,474.533,40,1.0,40,1060,0,0.717,0.0,3.312,3.153,0.676,0.952,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,502.gcc_r,12869668250,12818719275,50948975,0.396,14556850.0,107366558.28,474.533,40,1.0,40,1060,0,0.717,0.0,3.312,3.153,0.676,0.952,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,502.gcc_r,14193007867,14133588583,59419284,0.419,31109572.77,125216336.9,474.533,40,1.0,40,1060,0,0.717,0.0,3.312,3.153,0.676,0.952,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,502.gcc_r,11756045938,11703627593,52418345,0.446,18720837.5,110463013.11,474.533,40,1.0,40,1060,0,0.717,0.0,3.312,3.153,0.676,0.952,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,648.exchange2_s,2072586841,2065692581,6894260,0.333,4128299.4,9709418.51,710.059,3,1.0,3,53,10,0.036,0.146,0.166,2.837,0.363,17.129,1+1+1
atom_c2750,648.exchange2_s,2020670097,2013776274,6893823,0.341,2872426.25,9708803.07,710.059,3,1.0,3,53,10,0.036,0.146,0.166,2.837,0.363,17.129,1+1+1
i7_4770k,648.exchange2_s,1662983995,1657969766,5014229,0.302,1432636.86,7061707.55,710.059,3,1.0,3,53,10,0.036,0.146,0.166,2.837,0.363,17.129,1+1+1
atom_e3845,648.exchange2_s,2019693612,2012799708,6893904,0.341,3609373.82,9708917.15,710.059,3,1.0,3,53,10,0.036,0.146,0.166,2.837,0.363,17.129,1+1+1
gainestown,648.exchange2_s,1614524352,1609596058,4928294,0.305,1760105.0,6940682.39,710.059,3,1.0,3,53,10,0.036,0.146,0.166,2.837,0.363,17.129,1+1+1
